Crash.ID,State,Month,Year,Dayweek,Time,Crash.Type,Bus.Involvement,Heavy.Rigid.Truck.Involvement,Articulated.Truck.Involvement,Speed.Limit,Road.User,Gender,Age,National.Remoteness.Areas,SA4.Name.2016,National.LGA.Name.2017,National.Road.Type,Christmas.Period,Easter.Period,Age.Group,Day.of.week,TimeOfDay,NumberOfAccidents
20155110,WA,4,2015,Sunday,8:42,Single,No,No,No,60,Driver,Male,78,Major Cities of Australia,Perth - North East,Bayswater (C),ARTERIAL ROAD,No,No,75_or_older,Weekend,Day,1
20152085,Vic,4,2015,Saturday,3:10,Single,No,Yes,No,50,Pedestrian,Male,59,Major Cities of Australia,Melbourne - West,Maribyrnong (C),Sub-arterial Road,No,No,40_to_64,Weekend,Night,1
20151296,NSW,4,2015,Saturday,17:00,Single,No,No,No,70,Pedestrian,Male,36,Major Cities of Australia,Sydney - Ryde,Hornsby,National or State Highway,No,No,26_to_39,Weekend,Day,1
20155057,WA,3,2015,Saturday,22:00,Single,No,No,No,80,Passenger,Female,15,Major Cities of Australia,Perth - North West,Wanneroo (C),ARTERIAL ROAD,No,No,0_to_16,Weekend,Night,1
20157004,NT,3,2015,Wednesday,2:30,Single,No,No,No,110,Passenger,Male,38,Very Remote Australia,Northern Territory - Outback,Barkly (R),Access road,No,No,26_to_39,Weekday,Night,1
20152193,Vic,3,2015,Sunday,21:20,Single,No,No,No,100,Motorcycle rider,Male,47,Major Cities of Australia,Melbourne - Inner South,Stonnington (C),National or State Highway,No,No,40_to_64,Weekend,Night,1
20151225,NSW,3,2015,Wednesday,8:00,Single,No,No,No,50,Pedestrian,Female,90,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Local Road,No,No,75_or_older,Weekday,Day,1
20152072,Vic,2,2015,Saturday,19:40,Single,No,No,No,80,Driver,Female,50,Major Cities of Australia,Melbourne - West,Melton (C),Local Road,No,No,40_to_64,Weekend,Night,1
20156015,Tas,2,2015,Sunday,11:11,Single,No,No,No,100,Motorcycle rider,Male,57,Outer Regional Australia,South East,Central Highlands (M) (Tas.),Sub-arterial Road,No,No,40_to_64,Weekend,Day,1
20155087,WA,2,2015,Friday,14:59,Multiple,Yes,No,No,80,Driver,Male,64,Outer Regional Australia,Western Australia - Wheat Belt,Williams (S),NATIONAL OR STATE HIGHWAY,No,No,40_to_64,Weekday,Day,1
20154078,SA,1,2015,Monday,19:08,Multiple,No,No,No,100,Driver,Female,26,Inner Regional Australia,South Australia - South East,Yankalilla (DC),Arterial Road,No,No,26_to_39,Weekday,Night,1
